,km_driven,insurance_prem,manufacturer,model,listed_price,car_seller,state,owner_type,car_age,top_features_count
202,64000.0,0,maruti,maruti wagon r,369000.0,1,maharashtra,1,10,8
203,105503.0,0,maruti,maruti zen estilo,175000.0,1,delhi,1,13,8
204,142244.0,0,maruti,maruti wagon r,320000.0,1,maharashtra,1,7,9
206,15000.0,0,maruti,maruti xl6,1200000.0,0,madhya pradesh,1,3,9
207,42158.0,0,maruti,maruti eeco,350000.0,1,haryana,1,5,8
209,40000.0,0,hyundai,hyundai grand i10 nios,630000.0,0,maharashtra,1,5,9
210,56000.0,0,maruti,maruti wagon r,585000.0,1,uttar pradesh,1,6,8
212,71400.0,0,maruti,maruti wagon r,345000.0,1,maharashtra,1,11,9
213,49500.0,0,maruti,maruti wagon r,399999.0,1,maharashtra,1,10,9
214,124502.0,0,maruti,maruti wagon r,350000.0,1,haryana,1,10,9
216,81982.0,0,maruti,maruti sx4,200000.0,1,haryana,1,15,9
217,11808.0,0,maruti,maruti celerio,550000.0,1,haryana,1,3,8
218,37818.0,0,maruti,maruti ertiga,1075000.0,1,haryana,1,4,9
219,33356.0,0,maruti,maruti eeco,500000.0,1,delhi,1,8,8
220,48752.0,0,maruti,maruti celerio,400000.0,1,maharashtra,1,9,8
221,70000.0,0,maruti,maruti celerio,300700.0,0,uttar pradesh,1,10,8
222,17519.0,0,maruti,maruti wagon r,475000.0,1,maharashtra,1,7,8
223,73080.0,0,maruti,maruti celerio,350000.0,1,delhi,1,9,8
226,52000.0,0,maruti,maruti wagon r,410000.0,0,uttar pradesh,1,7,9
227,61852.0,0,maruti,maruti wagon r,300000.0,1,delhi,2,9,9
228,45708.0,0,maruti,maruti wagon r,300000.0,1,uttar pradesh,1,9,9
229,39952.0,0,maruti,maruti wagon r,250000.0,1,maharashtra,1,12,9
230,78221.0,0,maruti,maruti wagon r,285000.0,1,delhi,1,9,9
231,68588.0,0,maruti,maruti wagon r,200000.0,1,haryana,2,12,9
232,50957.0,0,maruti,maruti wagon r,300000.0,1,maharashtra,1,11,9
234,154835.0,0,maruti,maruti wagon r,250000.0,1,delhi,1,10,9
235,42298.0,0,maruti,maruti wagon r,480000.0,1,maharashtra,1,6,8
236,33176.0,0,maruti,maruti ertiga,700000.0,1,maharashtra,1,8,9
237,44472.0,0,maruti,maruti alto k10,220000.0,1,delhi,3,9,8
238,11350.0,0,tata,tata tigor,711000.0,1,maharashtra,1,3,9
239,156785.0,0,maruti,maruti wagon r,161205.0,1,uttar pradesh,2,12,9
240,42424.0,0,hyundai,hyundai aura,665034.0,1,karnataka,1,4,9
241,60000.0,0,maruti,maruti wagon r,320000.0,0,maharashtra,2,10,9
242,54519.0,0,maruti,maruti wagon r,190000.0,1,uttar pradesh,2,13,8
244,37160.0,0,maruti,maruti wagon r,377000.0,1,delhi,1,7,9
245,47454.0,0,maruti,maruti ertiga,750000.0,1,uttar pradesh,1,8,9
247,114890.0,0,maruti,maruti eeco,180000.0,1,delhi,2,12,9
248,82131.0,0,maruti,maruti ertiga,650000.0,1,maharashtra,2,10,9
250,77591.0,0,maruti,maruti wagon r,250000.0,1,haryana,1,9,9
251,29566.0,0,hyundai,hyundai aura,725000.0,1,delhi,1,4,9
252,76302.0,0,maruti,maruti wagon r,150000.0,1,haryana,3,13,8
253,20415.0,0,maruti,maruti ertiga,900000.0,1,rajasthan,1,4,9
254,31877.0,0,hyundai,hyundai santro,500000.0,1,delhi,1,5,9
255,54171.0,0,maruti,maruti wagon r,175000.0,1,delhi,1,13,8
256,65539.0,0,maruti,maruti eeco,370000.0,1,gujarat,1,8,8
